epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
116,4.093433249381281,4.1980807185173035,0.0,0.095,0.865,0.695,0.53,0.24,0.185,0.125,0.575,0.375
117,4.088318974997407,4.197144031524658,0.0,0.075,0.855,0.755,0.495,0.25,0.175,0.125,0.565,0.4
118,4.082213098772111,4.200704414110917,0.0,0.075,0.88,0.755,0.515,0.24,0.165,0.125,0.605,0.415
119,4.086865300004201,4.1945212208307705,0.0,0.085,0.85,0.705,0.475,0.23,0.21,0.15,0.54,0.405
120,4.079120229392923,4.193396215255444,0.0,0.09,0.84,0.71,0.505,0.245,0.23,0.125,0.575,0.42
121,4.082132360499393,4.192534355016855,0.0,0.085,0.835,0.72,0.485,0.24,0.21,0.13,0.545,0.39
122,4.072318487269904,4.193076592225295,0.0,0.085,0.875,0.72,0.45,0.24,0.21,0.135,0.545,0.42
123,4.069863884423369,4.191807210445404,0.0,0.085,0.885,0.67,0.465,0.24,0.195,0.13,0.575,0.385
124,4.0677053769429525,4.193192083102006,0.0,0.09,0.84,0.65,0.53,0.245,0.175,0.11,0.575,0.39
125,4.064936847584222,4.191566815743079,0.0,0.085,0.865,0.68,0.505,0.225,0.18,0.13,0.57,0.395
126,4.069316976301132,4.18873570057062,0.0,0.075,0.855,0.705,0.485,0.25,0.21,0.115,0.565,0.405
127,4.061910448279432,4.192017440612499,0.0,0.08,0.85,0.71,0.435,0.265,0.2,0.125,0.57,0.405
128,4.057268680552001,4.187533318996429,0.0,0.075,0.885,0.685,0.515,0.27,0.16,0.11,0.585,0.41
129,4.049395899106098,4.1868158257924595,0.0,0.085,0.865,0.69,0.46,0.245,0.19,0.12,0.545,0.405
130,4.055998242285944,4.185091715592605,0.0,0.075,0.88,0.67,0.495,0.245,0.185,0.105,0.565,0.43
131,4.047511937028618,4.185839909773606,0.0,0.075,0.87,0.745,0.445,0.255,0.17,0.125,0.575,0.405
132,4.044448396723758,4.1828790582143345,0.0,0.075,0.85,0.705,0.465,0.25,0.195,0.11,0.58,0.415
133,4.041304721627184,4.182368842455057,0.0,0.08,0.87,0.735,0.52,0.25,0.18,0.14,0.545,0.425
134,4.044214880851007,4.183406398846553,0.0,0.08,0.86,0.715,0.53,0.26,0.25,0.115,0.565,0.42
135,4.03740248885206,4.181848503076113,0.0,0.08,0.885,0.635,0.49,0.26,0.24,0.13,0.555,0.42
136,4.035285356480588,4.183897738273327,0.0,0.08,0.85,0.715,0.5,0.255,0.185,0.125,0.565,0.38
137,4.035631856610698,4.182292213806739,0.0,0.075,0.88,0.705,0.49,0.265,0.225,0.11,0.565,0.39
138,4.032594743338964,4.180021263085878,0.0,0.07,0.895,0.67,0.49,0.265,0.205,0.125,0.58,0.43
139,4.0296361313071305,4.180541093532856,0.0,0.075,0.895,0.73,0.55,0.275,0.19,0.125,0.54,0.4
140,4.027976082217309,4.180296957492828,0.0,0.065,0.9,0.73,0.485,0.26,0.21,0.13,0.56,0.445
141,4.022474649388303,4.179295503176176,0.0,0.08,0.865,0.715,0.49,0.245,0.19,0.115,0.545,0.425
142,4.01821627719428,4.178088422004993,0.0,0.075,0.865,0.725,0.46,0.275,0.2,0.135,0.57,0.43
143,4.021087319876558,4.178931378401243,0.0,0.07,0.865,0.68,0.48,0.26,0.245,0.13,0.56,0.425
144,4.017542693435505,4.177639067173004,0.0,0.075,0.88,0.755,0.455,0.27,0.21,0.135,0.6,0.42
145,4.015048637185045,4.186697469307826,0.0,0.075,0.85,0.655,0.49,0.25,0.185,0.13,0.595,0.4
146,4.0116588561765605,4.178330499392289,0.0,0.08,0.865,0.715,0.49,0.265,0.215,0.105,0.59,0.42
